"Aartsen, A.A. (Thierry) - VVD",
"Ontvangen de dvd 'Hush' over abortus en de gezondheid van de vrouw van ""Er is Hulp"" directeur Kees van Helden ter waarde van €20,49.",24-04-2018
"Ontvangen het boek ‘Een geschiedenis van het onderwijs in Nederland’ door Piet de Rooy ter waarde van €22,99.",23-04-2018
"Ontvangen het boek ‘Het nieuwe belonen’ van Kilian W. Wawoe ter waarde van €26,90.",16-04-2018
Aanwezig geweest bij een bijeenkomst bij de Britse ambassadeur inclusief een diner. De waarde is onbekend.,07-03-2018
"Ontvangen van de campagnetraining van de VVD een boekenbon ter waarde van €25,-",17-02-2018
"Ontvangen van de zorgnetwerkgroep een boekenbon ter waarde van €30,-",15-02-2018
Aanwezig geweest met de contactgroep Groot-Brittannië bij een lunch op uitnodiging van de Britse Ambassadeur. De waarde is onbekend.,09-02-2018
Aanwezig geweest met de contactgroep Duitsland bij een diner op uitnodiging van de Duitse Ambassadeur. De waarde is onbekend.,31-01-2018
Aanwezig geweest met de contactgroep Frankrijk bij een diner op uitnodiging van de Franse Ambassadeur. De waarde is onbekend.,30-01-2018
"Ontvangen van Vereniging voor Hogescholen, na afloop van kennismaking, een mobiele oplader. De waarde is onbekend.",27-11-2017
"Ontvangen van the Confederation of Danish Employers, na afloop van een toespraak, twee kerstengels voor in een kerstboom ter waarde van €18,-.",24-11-2017
"Ontvangen van Paul Scheffer na afloop van het toespreken van studenten het boek ‘De Nieuwe Politiek van Europa’ door Luuk van Middelaar ter waarde van €25,-.",08-11-2017
"Valstar, P.J. (Peter) - VVD",
Geschenken,
Geschenk,Datum
Ontvangen van de Koninklijke Algemeene Vereeniging voor Bloembollencultuur een doos met verschillende zakjes bloembollen. De waarde is onbekend.,17-10-2023
Ontvangen van Natuurmonumenten een hoodie naar aanleiding van een bezoek aan de Markerwadden. De waarde is onbekend.,14-09-2023
Bijgewoond op uitnodiging van Zuydgeest Communicatie het aspergediner. De waarde is onbekend.,12-04-2023
Bijgewoond op uitnodiging van de NIDV het Captaindinner. De waarde is onbekend.,29-03-2023
"Ontvangen van CAE een Kavalan Single Malt Whisky ter waarde van circa € 50,-",17-01-2023
Ontvangen van de Koninklijke Algemeene Vereeniging voor Bloembollencultuur een doos met verschillende zakjes bloembollen. De waarde is onbekend.,18-10-2022
"Ontvangen van de vertegenwoordiger van Taiwan een doosje bonbons en het boek ""Formosa' van Joyce Bergvelt gekregen. De waarde is onbekend.",12-10-2022
Bijgewoond op uitnodiging van WePublic het aspergediner. De waarde is onbekend.,20-04-2022
"Ontvangen van Noordhoff Uitgevers de Grote Bosatlas ter waarde van € 69,95.",06-04-2022
Bijgewoond op uitnodiging van de NIDV het Captaindinner. De waarde is onbekend.,17-03-2022
Ontvangen van Koninklijke Algemeene Vereeniging voor Bloembollencultuur een doos met verschillende zakjes bloembollen. De waarde is onbekend.,17-11-2021
Bijgewoond op uitnodiging van Heineken de F1 Grand Prix te Zandvoort. De waarde is onbekend.,05-09-2021
"Ontvangen wegens deelname aan het tv-programma 2 voor 12 (jubileumeditie) een Parker-pen en 2 flessen wijn met een geschatte waarde van ca. €50,-.",05-06-2021
"Vedder, E.C. (Eline) - CDA",
Geschenken,
Geschenk,Datum
Ontvangen van de Gemeente Den Haag twee tickets voor het Prinsjesdag-concert. Waarde onbekend.,19-09-2023
Ontvangen van de Commissaris van de Koning in Provincie Drenthe twee kaartjes voor de TT Assen. De waarde is onbekend.,25-06-2023
"Verkuijlen, R. (Ruud) - VVD",
Geschenken,
Geschenk,Datum
"Ontvangen van de gemeente Breda het boek 'Blind Walls Gallery: Het Museum Op Straat' ter waarde van €44,90.",03-04-2023
"Ontvangen het boek 'Handboek Minister' ter waarde van € 14,95.",13-12-2022
"Ontvangen tijdens een werkbezoek aan Arnhem een cadeaumand met koffie en koekjes ter waarde van € 20,-.",04-11-2022
Ontvangen van Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €70.,31-03-2022
"Ontvangen van de organisatie Prostitutie Informatie Centrum het boek ""United Under A Red Umbrella"" ter waarde van €30,-.",04-11-2021
"Warmerdam, S. (Sjoerd) - D66",
Geschenken,
Geschenk,Datum
Geen,
"Wassenberg, F.P. (Frank) - PvdD",
Geschenken,
Geschenk,Datum
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
"Ontvangen van de Stichting Synthesis het boek 'Politieke Polarisatie in Nederland' van Paul Dekker ter waarde van €20,-.",29-06-2023
Ontvangen van het college van B&W van Maastricht 2 kaarten voor een concert van André Rieu op het Vrijthof. De waarde is onbekend.,20-06-2023
Ontvangen van de Raad van Beheer – Houden van Honden het boek 'Amazing Dutch Dog Breeds van Janny Offereins – Snoek & Diana Striegel - Oskam. De waarde is onbekend.,05-06-2023
"Ontvangen van De Correspondent Uitgevers het boek 'Sander en de brug' geschreven door Sander Schimmelpenninck ter waarde van €15,-.",25-01-2023
"Ontvangen van de Diervriendelijke Parlementaire BBQ een vegan levensmiddelenpakket met een geschatte waarde van €50,-.",06-09-2022
Geschenk,Datum
"Ontvangen van Atlas Contact het boek ""De lezende mens"" geschreven door Ruud Hisgen en Adriaan van der Weel ter waarde van € 25,-.",22-06-2022
"Ontvangen van Google een Titan Security Key ter waarde van €35,-.",18-04-2022
"Ontvangen van Noordhoff Uitgever ""De Grote Bosatlas 56e editie"""" ter waarde van € 69,95.",29-03-2022
"Ontvangen het boek ""De Vegetarische Slager"" van Jeroen Siebelink als dank voor het geven van een interview aan Jeroen Siebelink. De waarde is €22,-.",12-04-2021
"Ontvangen het boek ""Dieet voor een betere planeet"" van Hanneke van Veghel als dank voor het geven van een online lezing bij One Single Planet Amsterdam. De waarde is €23.",18-01-2021
"Ontvangen voor het jureren van de finale 'changemaker junior dopper' een RVS-dopperfles en een fles wijn met een totale waarde van ca. €50,-.",10-11-2018
"Weerdenburg, V.D.D. (Danai) van - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas ter waarde van €69,95.",07-04-2022
"Werner, L.M. (Lucille) - CDA",
Geschenken,
Geschenk,Datum
"Ontvangen van de Koninklijke Nederlandse Voetbalbond twee kaartjes voor de voetbalwedstrijd Nederland - Gibraltar ter waarde van € 150,-.",27-03-2023
"Ontvangen voor haar rol in het tv programma 'Heb ik wat van je aan?' (diverse uitzendingen, laatste uitzending 28 sept), een Prinsjesdag outfit, gemaakt door ontwerpster Puck Jansen ter waarde van €500,-.",15-09-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",21-04-2022
"Westerveld, E.M. (Lisa) - GL-PvdA",
Geschenken,
Geschenk,Datum
Ontvangen (tevens werkbezoek) van De Graafschap een uitnodiging om mee te gaan met de supporters bus van De Graafschap vanuit Nijmegen naar de wedstrijd De Graafschap tegen MVV om een beeld te krijgen hoe het er aan toe gaat,24-09-2023
"onder de supporters van De Graafschap. Busreis voor eigen rekening, de waarde van de kaart voor het uitvak ligt vermoedelijk ergens tussen de €18,- en €30,-.",
Ontvangen van FC Afkicken (online sportnetwerk) een hotelovernachting Woudschoten te Zeist i.v.m. deelname aan de liveshow voorafgaand aan de WK wedstrijd Oranje – USA. De waarde is onbekend.,27-07-2023
Ontvangen van de organisatie Zwarte Cross weekendkaart Zwarte Cross (20-24 juli 2023) i.v.m. deelname aan diverse activiteiten (o.a. draaien als DJ en voorlezen). De waarde is onbekend.,21-07-2023
"Ontvangen van de KNVB twee tickets voor voetbalwedstrijd Vrouwen Nederland-Schotland, Goffert Stadion te Nijmegen met ontvangst in Huis van Oranje. De waarde onbekend.",03-06-2023
"Ontvangen van de KNVB 1 VIP kaart voor de voetbalwedstrijd Champions League Vrouwen, PSV Stadion te Eindhoven. De waarde is onbekend.",03-06-2023
Ontvangen van de KNVB 2 kaarten voor de WK-wedstrijd Oranje Leeuwinnen-Duitsland en ontvangst in het Huis van Oranje Sittard. De waarde is onbekend.,07-04-2023
Ontvangen van Edison Stichting twee kaarten voor de uitreiking van AFAS Edisons Pop 2023 in het AFAS Theater te Leusden. De waarde is onbekend.,06-03-2023
"Ontvangen van NTR i.v.m. deelname aan de Top 2000 a Gogo €300,-. Het bedrag is rechtstreeks overgemaakt (donatie) naar de Stichting No Guts No Glory.",19-12-2022
Ontvangen van Nederlands Filmfestival twee kaarten voor de uitreiking Gouden Kalveren. De waarde is onbekend.,30-09-2022
Ontvangen van de KNVB twee kaarten voor de voetbalwedstrijd Nederland-België met ontvangst in Huis van Oranje. De waarde is onbekend.,25-09-2022
"Ontvangen van Diervriendelijk Nederland en Vegan Today een doos met vriendelijke, plantaardige levensmiddelen. De waarde is onbekend.",06-09-2022
"Ontvangen 5 keer het boek 'Regelingen voor collectieve schade, geef slachtoffers erkenning' van Christiaan Ruppert ter waarde van € 37,00 per stuk (totaal € 185,00). Verdeelt onder medewerkers.",18-08-2022
"Ontvangen weekendkaart van de Zwarte Cross in ruil voor optreden met de Gitarencoalitie. De geschatte waarde is ongeveer €150,-.",16-07-2022
Ontvangen een ticket voor de voetbalwedstrijd PSV-Ajax (vrouwen) in de bestuurskamer. De waarde is onbekend.,18-04-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
Ontvangen van NRC t.b.v. dubbelinterview met Jo Ritzen een overnachting in herberg Oortjeshekken (16-07-2021 op 17-07-2021). De waarde is onbekend.,13-08-2021
"Ontvangen tijdens de Klimaat- & Diervriendelijke parlementaire BBQ een diervriendelijk voedselpakket ter waarde van €70,00.",01-07-2021
Ontvangen van de KNVB (als prijs n.a.v. een quizvraag) een door bondscoaches gesigneerd voetbalshirt. De waarde is onbekend.,21-06-2021
"Ontvangen een groente-fruitbox van AGF Detailhandel NL, aangeboden in het kader van gezonde leefstijl. De waarde is onbekend.",31-05-2021
"Ontvangen een dinerbox van de Nierstichting, aangeboden in het kader van gezonde leefstijl (zoutbewust). De waarde is onbekend.",18-05-2021
"Ontvangen van Gijsbert Leertouwer het boek ""Democratische legitimiteit in het onderwijsbestuur"" van Gijsbert Leertouwer ter waarde van € 55,-.",15-04-2021
"Ontvangen een taxirit van Amsterdam naar Arnhem voor haar deelname aan het Debat van het Oosten ter waarde van € 250,00.",11-03-2021
Geschenk,Datum
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien. Weekendkaart (19-07-2019 t/m 21-07-2019) met een geschatte waarde van €150,-",19-07-2019
"Deelgenomen aan de door gemeente Nijmegen, Stichting Vierdaagse en Stichting Vierdaagsfeesten georganiseerde openingsceremonie. De waarde is onbekend.",14-07-2019
Ontvangen van het AD een overnachting in het NH Atlanta Hotel in Rotterdam (12-06-2019 t/m 13-06-2019) en een taxirit van het hotel naar studio van het AD in Rotterdam. De waarde is onbekend.,12-06-2019
Deelgenomen aan het Achterhoeks Lentediner. De waarde is onbekend.,16-05-2019
Ontvangen van PO-raad en VO-raad een uitnodiging voor de Diner Pensant. De waarde is onbekend.,08-04-2019
"Deelgenomen aan een prematch buffet, aansluitend de voetbalwedstrijd Nederland-Mexico voor twee personen op uitnodiging van de KNVB. De waarde is onbekend.",05-04-2019
Ontvangen twee kaarten voor de voetbalwedstrijd Nederland-Duitsland op uitnodiging van de KNVB. De waarde is onbekend.,24-03-2019
"Deelgenomen aan werkbezoek/diner, aansluitend de voetbalwedstrijd Vitesse-NAC voor één persoon op uitnodiging van de KNVB. De waarde is onbekend.",02-03-2019
"Deelgenomen aan tafelgesprek/diner, aansluitend de voetbalwedstrijd De Graafschap-ADO Den Haag voor twee personen op uitnodiging van de Regio Achterhoek. De waarde is onbekend.",01-03-2019
"Deelgenomen aan gesprek tijdens Studium Generale op uitnodiging van Universiteit Maastricht. Reis- en verblijfkosten zijn betaald door Universiteit Maastricht ter waarde van €138,96.",24-01-2019
Ontvangen van NOS en NOC*NSF twee entreekaarten voor het Sportgala NOC*NSF. De waarde is onbekend.,19-12-2018
"Aanwezig geweest bij Glory Amsterdam, inclusief diner, ter ere van het 1-jarig bestaan van de Nederlandse vechtsportautoriteit. De waarde is onbekend.",29-09-2018
"Ontvangen een weekendkaart voor deelname aan talkshow Iepen Up, inclusief overnachtingen ter waarde van €55 (9 t/m 11 augustus 2018).",09-08-2018
Ontvangen een weekendkaart van de Zwarte Cross voor het draaien van muziek in het Metalcafé ter waarde van €125 (12 t/m 15 juli 2018),12-07-2018
"Deelgenomen aan het Achterhoeks Lentediner 2018, aangeboden door Regio Achterhoek. De waarde is onbekend.",16-05-2018
"Ontvangen twee vrijkaartjes voor de bekerfinale AZ-Feyenoord op uitnodiging van het bestuur van de KNVB ter waarde van €50,- per kaart.",22-04-2018
Deelgenomen aan het Aspergediner in Nieuwspoort op uitnodiging van Meús van der Poel en Henriette Kievit van Hofstaten. De waarde is onbekend.,19-04-2018
Ontvangen van NOS en NOC*NSF een uitnodiging voor het Sportgala NOC*NSF. De waarde is onbekend.,19-12-2017
"Ontvangen van Buma-Stemra een kaartje voor ADE i.v.m. gesprek met Nadya van Pussy Riot ter waarde van €35,-.",18-10-2017
Ontvangen van NOCNSF een kaartje voor de voetbalwedstrijd van het Nederlandse vrouwen voetbalteam. De waarde is onbekend.,20-07-2017
"Weyenberg, S.P.R.A. (Steven) van - D66",
Geschenken,
Geschenk,Datum
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
Ontvangen bloemen en sneakers voor deelname aan het verkiezingsdebat over De Slimme Economie op RTLZ. De waarde is onbekend.,02-03-2021
"Ontvangen royalty voor een artikel in “Pensioen Actualiteiten 2019” ter waarde van €135,19.Dit bedrag is direct uitgekeerd aan het Liliane Fonds.",04-03-2020
"Ontvangen van gemeente Den Haag twee kaarten voor het Prinsjesdagconcert, inclusief voorafgaande ontvangst. De waarde is onbekend.",21-09-2017
Ontvangen van Gemeente Den Haag een kaart voor het Prinsjesdagconcert in het Zuiderstrand Theater Den Haag. De waarde is onbekend.,19-09-2017
"Ontvangen van Stibbe, organisator van een verkiezingsdebat, het boek ""Arbeidsrecht, tekst en commentaar"" ter waarde €200,-.",06-03-2017
Ontvangen van het Mendelcollege na deelname aan debat een Dopper & Rituals pakket. De waarde is onbekend.,28-02-2017
"Ontvangen van de heer Houweling en de heer Keulaerds twee boeken ""Parlementaire Geschiedenis Wet werk en zekerheid"" ter waarde van €156,-.",25-01-2017
Ontvangen van de KNVB een kaart voor de voetbalwedstrijd Ajax-PSV. De waarde is onbekend.,18-12-2016
Ontvangen van de burgermeester van Den Haag en het bestuur van het Residentieorkest twee kaarten voor het Prinsjesdagconcert. De waarde is onbekend.,20-09-2016
"Ontvangen van Kinderopvangorganisatie Berend Botje een informatiepakket en 3 kinderboeken met een geschatte waarde van €50,-.",23-05-2016
"Ontvangen van de auteurs Prof. dr. J.M. van Slooten, Mr. dr. I. Zaal en Mr. dr. J.P.H. Zwemmer het boek “Handboek Nieuw Ontslagrecht” ter waarde van €59,-",25-08-2015
"Ontvangen van het Burgercomité-EU het boek “Manifest aan het volk van Nederland: aanklacht tegen de afschaffing van ons land en de ondermijning van onze democratie” ter waarde van €15,-.",28-05-2015
"Ontvangen van Area Reiniging N.V. het boek ""Wake Up! Upcycle je regio"" ter waarde van €20,-.",19-05-2015
Ontvangen van Swalef Pensioenjuristen en Academie een fles wijn. De waarde is onbekend.,18-05-2015
"Ontvangen van Swalef Pensioenjuristen en Academie het boek “Wet versterking bestuur pensioenfondsen” ter waarde van €49,95 (ex btw).",18-05-2015
"Ontvangen van Uitgeverij Parthenon het boek ""Piramidesteden, afscheid van het kapitalisme, de wereldwijde armoede en roofbouw op de natuur"". De waarde is onbekend.",26-03-2015
Op uitnodiging van de Vereniging Chinese Horeca Ondernemers deelgenomen aan een banket te Amsterdam ter gelegenheid van het Chinese Nieuwjaar. De waarde is onbekend.,18-02-2015
"Ontvangen voor een optreden bij de Koning Willem I Kring (KWIK) het boek ""Koning Willem I"" van Jeroen Koch en 2 flessen wijn. De waarde is respectievelijk €39,90 en onbekend, samen naar verwachting meer dan 50 euro).",19-11-2014
Ontvangen van de Gemeente Den Haag 2 kaartjes voor het Prinsjesdagconcert. De waarde is onbekend.,17-09-2013
"Wilders, G. (Geert) - PVV",
Geschenken,
Geschenk,Datum
Ontvangen twee concertkaartjes voor een concert van Lady Gaga.,28-08-2012
"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",30-09-2008
